ENST00000000233.10	88	3419	3331
ENST00000000412.8	1460	6868	5408
ENST00000000442.11	1656	11702	10046
ENST00000001008.6	170	9652	9482
ENST00000001146.7	2992	20126	17134
ENST00000002125.9	48	18002	17954
ENST00000002165.11	898	18216	17318
ENST00000002501.11	1467	14940	13473
ENST00000002596.6	5935	7775	1840
ENST00000002829.8	4299	35125	30826
ENST00000003084.11	70	191493	191423
ENST00000003100.13	1515	23728	22213
ENST00000003302.8	1369	80833	79464
ENST00000003583.12	1541	45215	43674
ENST00000003912.7	26336	54342	28006
ENST00000004103.8	782	4795	4013
ENST00000004531.14	48	28448	28400
ENST00000004982.6	959	2919	1960
ENST00000005082.13	127	21859	21732
ENST00000005178.6	2145	14016	11871
ENST00000005180.9	158	2917	2759
ENST00000005226.12	435	53077	52642
ENST00000005257.7	63096	83284	20188
ENST00000005259.9	527	38830	38303
ENST00000005260.9	1874	110721	108847
ENST00000005284.4	420	106466	106046
ENST00000005286.8	153	15484	15331
ENST00000005340.10	526	11113	10587
ENST00000005374.10	558	8425	7867
ENST00000005386.8	2259	43570	41311
ENST00000005558.8	27545	53713	26168
ENST00000005756.5	188	33955	33767
ENST00000005995.8	32	5301	5269
ENST00000006015.4	1642	4924	3282
ENST00000006053.7	79	11727	11648
ENST00000006251.11	25445	61316	35871
ENST00000006275.8	267	15803	15536
ENST00000006658.11	35	10874	10839
ENST00000006724.7	4108	15649	11541
ENST00000006750.8	489	4202	3713
ENST00000006777.11	49	10400	10351
ENST00000007264.7	979	3694	2715
ENST00000007390.3	200	3494	3294
ENST00000007414.8	922	15410	14488
ENST00000007510.9	95	16702	16607
ENST00000007516.8	1273	15740	14467
ENST00000007699.10	528	7321	6793
ENST00000007708.7	2760	16376	13616
ENST00000007722.11	0	35995	35995
ENST00000007735.4	30	5880	5850
ENST00000007969.12	901	9290	8389
ENST00000008180.13	181	4220	4039
ENST00000008391.4	530	60683	60153
ENST00000008440.9	128	13965	13837
ENST00000008527.10	1426	103343	101917
ENST00000008938.5	88	4453	4365
ENST00000009041.12	29260	51301	22041
ENST00000009105.5	11267	30572	19305
ENST00000009180.10	100	38101	38001
ENST00000009530.13	604	11989	11385
ENST00000009589.8	39	1682	1643
ENST00000010132.6	861	24979	24118
ENST00000010299.10	24	35534	35510
ENST00000010404.6	7111	17358	10247
ENST00000011292.8	27	8761	8734
ENST00000011473.6	1303	22795	21492
ENST00000011619.6	867	92180	91313
ENST00000011653.9	10611	31163	20552
ENST00000011684.11	1791	20061	18270
ENST00000011691.6	38	3874	3836
ENST00000011700.10	0	241477	241477
ENST00000011898.10	123815	206444	82629
ENST00000011989.11	474	20859	20385
ENST00000012049.10	38	11519	11481
ENST00000012134.7	1641	30601	28960
ENST00000012443.9	10	44740	44730
ENST00000013034.3	709	8703	7994
ENST00000013070.11	36	21040	21004
ENST00000013125.9	1497	116030	114533
ENST00000013222.5	16	4499	4483
ENST00000013807.9	117	10901	10784
ENST00000013894.3	42	8539	8497
ENST00000014914.6	16688	22042	5354
ENST00000014930.9	441	25807	25366
ENST00000014935.7	952	4709	3757
ENST00000016171.6	3722	22402	18680
ENST00000016913.8	4541	15138	10597
ENST00000016946.8	161	66860	66699
ENST00000017003.7	15	16746	16731
ENST00000019019.6	1887	7824	5937
ENST00000019103.8	277	85690	85413
ENST00000019317.8	38037	62881	24844
ENST00000020673.6	584	17475	16891
ENST00000020926.8	3753	47177	43424
ENST00000020945.4	1212	4468	3256
ENST00000022615.9	2332	14420	12088
ENST00000023064.9	112	39472	39360
ENST00000023897.10	3620	51587	47967
ENST00000023939.8	113	50675	50562
ENST00000024061.7	844	20051	19207
ENST00000025008.10	1327	67771	66444
ENST00000025301.4	14197	52765	38568
ENST00000025399.10	314	21659	21345
ENST00000026218.9	4057	15884	11827
ENST00000027335.8	1081	70002	68921
ENST00000028008.9	17189	26846	9657
ENST00000029410.10	79	10535	10456
ENST00000031146.8	678	60615	59937
ENST00000033079.7	2268	83875	81607
ENST00000034275.12	261	62211	61950
ENST00000035307.7	1529	8507	6978
ENST00000037243.7	108	11334	11226
ENST00000037502.11	511	18703	18192
ENST00000037869.8	1316	6446	5130
ENST00000038176.8	601	78843	78242
ENST00000039007.5	93	69527	69434
ENST00000039989.9	35	138380	138345
ENST00000040584.6	300	3117	2817
ENST00000040663.8	67	8857	8790
ENST00000040738.10	1276	67976	66700
ENST00000040877.2	267	92623	92356
ENST00000042381.9	9618	21267	11649
ENST00000042931.1	0	6999	6999
ENST00000043402.8	299	28094	27795
ENST00000044462.12	1484	9272	7788
ENST00000045083.6	1123	47552	46429
ENST00000045347.11	0	53961	53961
ENST00000046087.7	90	156798	156708
ENST00000046640.9	3447	24697	21250
ENST00000046794.10	2467	52956	50489
ENST00000052569.10	2988	43373	40385
ENST00000052754.10	5577	39138	33561
ENST00000053243.6	115	3183	3068
ENST00000053468.4	1485	11638	10153
ENST00000053867.8	3863	9260	5397
ENST00000054650.9	351	8918	8567
ENST00000054666.11	88	8641	8553
ENST00000054668.5	3	6077	6074
ENST00000054950.4	123	14382	14259
ENST00000055077.8	607	23932	23325
ENST00000055335.11	77	19687	19610
ENST00000055682.12	6552	17339	10787
ENST00000056217.10	7268	29428	22160
ENST00000056233.4	301	35660	35359
ENST00000057513.8	1226	33681	32455
ENST00000060969.6	4795	11744	6949
ENST00000061240.7	668	230654	229986
ENST00000064571.3	1203	7414	6211
ENST00000064724.8	199	14503	14304
ENST00000064778.8	7047	68712	61665
ENST00000064780.7	12738	20369	7631
ENST00000066544.8	3235	73922	70687
ENST00000070846.11	1672	108605	106933
ENST00000072516.7	50239	136351	86112
ENST00000072644.7	8334	38114	29780
ENST00000072869.9	386	23725	23339
ENST00000075120.12	2186	18282	16096
ENST00000075322.11	438	84258	83820
ENST00000075430.11	102	76411	76309
ENST00000075503.8	1224	16952	15728
ENST00000078429.9	290	27884	27594
ENST00000078445.7	117	19708	19591
ENST00000078527.9	1888	10389	8501
ENST00000080059.12	1122	40010	38888
ENST00000081029.8	12	45576	45564
ENST00000083182.8	4426	84515	80089
ENST00000084795.9	44	3115	3071
ENST00000084798.9	176	8661	8485
ENST00000085068.7	322	4155	3833
ENST00000085079.11	3383	21749	18366
ENST00000085219.10	2854	20035	17181
ENST00000086933.3	2001	3902	1901
ENST00000155093.8	18556	47005	28449
ENST00000155674.9	513	28904	28391
ENST00000155840.12	91	405004	404913
ENST00000155926.9	1372	24881	23509
ENST00000156084.8	966	37063	36097
ENST00000156109.7	217	11732	11515
ENST00000156471.10	5013	122251	117238
ENST00000156476.6	3830	9155	5325
ENST00000156499.7	515	5867	5352
ENST00000156626.12	570	20666	20096
ENST00000156825.5	4747	19806	15059
ENST00000157600.8	116	66861	66745
ENST00000157812.7	38	11380	11342
ENST00000158009.6	79	9784	9705
ENST00000158166.5	750	22075	21325
ENST00000158526.9	1183	6410	5227
ENST00000158762.8	206	17061	16855
ENST00000158771.9	3433	15617	12184
ENST00000159060.3	1471	62123	60652
ENST00000159087.7	297	15125	14828
ENST00000159111.9	63778	185662	121884
ENST00000159647.9	0	10451	10451
ENST00000160262.10	84	7472	7388
ENST00000160298.9	140	25921	25781
ENST00000160373.8	889	167730	166841
ENST00000160382.10	152	14521	14369
ENST00000160713.8	0	117513	117513
ENST00000160740.7	685	15966	15281
ENST00000160827.9	9	16537	16528
ENST00000161006.8	366	6319	5953
ENST00000161559.11	1806	22637	20831
ENST00000161863.9	202	83947	83745
ENST00000162044.14	764	20684	19920
ENST00000162330.10	1333	25904	24571
ENST00000162391.8	7117	21843	14726
ENST00000162749.7	544	14398	13854
ENST00000163416.7	3133	47319	44186
ENST00000163678.11	3975	14189	10214
ENST00000164024.5	1745	36072	34327
ENST00000164133.7	1046	10630	9584
ENST00000164139.4	264	16006	15742
ENST00000164227.10	83	12257	12174
ENST00000164247.5	6286	65374	59088
ENST00000164305.10	29	37857	37828
ENST00000164640.8	1190	30431	29241
ENST00000165524.1	0	857	857
ENST00000165698.9	3110	124113	121003
ENST00000166139.9	32	6097	6065
ENST00000166244.8	147	41247	41100
ENST00000166345.8	115	25499	25384
ENST00000166534.8	403	27607	27204
ENST00000167106.9	1354	18635	17281
ENST00000167218.9	1530	7804	6274
ENST00000167462.9	17701	52198	34497
ENST00000167586.7	159	5963	5804
ENST00000167588.4	475	10560	10085
ENST00000167825.5	0	66963	66963
ENST00000168148.8	85	19934	19849
ENST00000168216.11	146	3861	3715
ENST00000168712.3	2290	4677	2387
ENST00000168869.12	5749	7445	1696
ENST00000168977.7	603	9884	9281
ENST00000169293.10	975	46402	45427
ENST00000169298.8	112178	146487	34309
ENST00000169551.11	286	10692	10406
ENST00000170150.4	871	17035	16164
ENST00000170168.9	821	36757	35936
ENST00000170447.12	64	26403	26339
ENST00000170564.7	13	51749	51736
ENST00000170630.6	0	24959	24959
ENST00000171111.10	530	15775	15245
ENST00000171757.3	15130	17162	2032
ENST00000171887.8	4673	103353	98680
ENST00000172229.8	125	18988	18863
ENST00000173229.7	864	220261	219397
ENST00000173527.6	18	19138	19120
ENST00000173898.12	1423	14475	13052
ENST00000174618.5	2831	18379	15548
ENST00000175091.5	558	19562	19004
ENST00000175238.10	83	68748	68665
ENST00000175506.8	144	18710	18566
ENST00000175756.10	52	18530	18478
ENST00000176183.6	36	4584	4548
ENST00000176195.4	125	1193	1068
ENST00000176643.11	221	28263	28042
ENST00000176763.10	2806	148848	146042
ENST00000177648.13	80408	147555	67147
ENST00000177694.2	219	13726	13507
ENST00000177742.7	334	1901	1567
ENST00000178638.8	4910	61393	56483
ENST00000178640.10	633	265366	264733
ENST00000179259.6	59	32279	32220
ENST00000180166.6	894	10481	9587
ENST00000180173.10	3071	118464	115393
ENST00000181383.10	431	53081	52650
ENST00000181796.7	2636	257019	254383
ENST00000181839.10	386	149243	148857
ENST00000182290.9	137	16858	16721
ENST00000182377.8	46785	111660	64875
ENST00000182527.4	5792	80606	74814
ENST00000183605.10	61	21751	21690
ENST00000184183.8	637	12591	11954
ENST00000184266.3	24	6315	6291
ENST00000184956.11	2558	41429	38871
ENST00000185150.9	167	32357	32190
ENST00000185206.12	4635	183010	178375
ENST00000186436.10	766	244934	244168
ENST00000187397.8	39587	154208	114621
ENST00000187608.13	40	10503	10463
ENST00000187762.7	79	28120	28041
ENST00000187830.2	183	3568	3385
ENST00000187879.12	709	9014	8305
ENST00000187910.7	329	16972	16643
ENST00000188312.7	37	24274	24237
ENST00000188376.9	354	8976	8622
ENST00000188403.7	28	61563	61535
ENST00000188790.9	298	74897	74599
ENST00000189444.11	255	9343	9088
ENST00000189978.10	46	134461	134415
ENST00000190165.3	347	15761	15414
ENST00000190611.9	111673	203823	92150
ENST00000190983.5	22	12681	12659
ENST00000191018.9	228	8532	8304
ENST00000191063.8	103	12138	12035
ENST00000192314.7	134	28531	28397
ENST00000192788.6	168	84651	84483
ENST00000193322.8	3379	34238	30859
ENST00000193391.8	4426	101530	97104
ENST00000193403.10	719	107568	106849
ENST00000194097.8	1624	48627	47003
ENST00000194118.8	87	16434	16347
ENST00000194130.7	1990	88185	86195
ENST00000194152.4	181	4949	4768
ENST00000194155.7	176	4962	4786
ENST00000194214.10	93	18948	18855
ENST00000194530.8	3101	29675	26574
ENST00000194672.11	1815	54840	53025
ENST00000194900.8	341	59931	59590
ENST00000195173.8	953	42616	41663
ENST00000195649.10	3271	157720	154449
ENST00000196061.5	63	42250	42187
ENST00000196169.7	64010	173124	109114
